RegionCode,log_pop,log_cgdpe
AGO,1.3841484064944265,1.2185003847596556
ALB,0.46637213942038674,0.4485782512858124
ARG,1.6196867332247329,1.856108982055224
ARM,0.45872560934722884,0.3912525261603085
ATG,-1.0190018372925023,-0.7550061897229638
AUS,1.3517924289589898,1.9964052471168765
AUT,0.9273633641021904,1.5793571286887351
AZE,0.9612492157049161,1.1918369465208871
BDI,0.956336906741318,-0.20260027288533178
BEL,1.0419089303512648,1.6686258307307753
BEN,0.9759279570561736,0.22369971205443825
BFA,1.206337450645421,0.3487902897236583
BGD,2.18727223052721,1.5973185449940859
BGR,0.8666543012740973,1.0687159365008678
BHR,0.1066222745738813,0.7352457734035337
BHS,-0.43584545102204486,0.05015158779879239
BIH,0.5668927554919294,0.5470392214053601
BLR,0.9762811898089632,1.2450798927922082
BLZ,-0.48255071096954305,-0.5942459763382238
BMU,-1.1966726643203165,-0.4098719851003131
BOL,1.0033891516440319,0.7497702435001672
BRA,2.2981687775505986,2.4748361848567404
BRB,-0.5519107935842101,-0.34281758479752106
BRN,-0.4044894625500831,0.49511635252102315
BTN,-0.13046907999690258,-0.3109997968760009
BWA,0.31203741806817054,0.45532308841120106
CAF,0.6509049127842975,-0.38671334012737346
CAN,1.5383050291286444,2.1538287691645532
CHE,0.8992962363817005,1.653270355535571
CHL,1.234349115016257,1.5503353460589926
CHN,3.135921054636092,3.146605032248213
CIV,1.32004884683679,0.7286146418409787
CMR,1.312186812132896,0.7549086431287466
COD,1.82421437772147,0.6538842080427258
COG,0.65443936183854,0.39700285615739844
COL,1.6665801881148719,1.7304378012805584
COM,-0.15084541089218131,-0.7582874249983345
CPV,-0.29407900238139245,-0.517671586666892
CRI,0.6628025693343066,0.7873276707143306
CYP,-0.07013118389974146,0.45276379834594693
CZE,1.0240221906333047,1.4898826205983529
DEU,1.9081309130211686,2.5370010962807754
DJI,-0.06251370603527144,-0.6816227697585979
DMA,-1.144371830865659,-1.1405881008245724
DNK,0.7468577382686122,1.388845978913913
DOM,1.0011751227233536,1.0522400926455355
ECU,1.1811960870809013,1.1739075652638746
EGY,1.9339808280730277,1.9181386674199765
ESP,1.6712574499082398,2.182452530278422
EST,0.1233448897723502,0.5251997905047808
ETH,1.9544680568541166,0.9858990160111429
FIN,0.7315276995924865,1.3483489840551375
FJI,-0.0619378292142996,-0.19210924362382167
FRA,1.816116080799988,2.394316687077088
GAB,0.2297076885887813,0.4130724506354019
GBR,1.8049015535619297,2.3682804680840084
GEO,0.6202668511652094,0.5265745473783284
GHA,1.40005067865119,1.0539243792162525
GIN,1.0427790122963745,0.2700745114994617
GMB,0.24213453233803642,-0.4054549350465076
GNB,0.20307478367173631,-0.6273950053468461
GNQ,-0.002486930964741698,0.5336246227537806
GRC,1.0577727565975745,1.4627482405529286
GRD,-0.9785005942274411,-0.9427622617396634
GTM,1.1746097973003413,0.9934564842413305
HKG,0.8491622606498324,1.5441598569066068
HND,0.9217696696670443,0.5160482133555233
HRV,0.6348168323949257,0.9549676505129436
HUN,0.995556393699059,1.3710465224108805
IDN,2.3904184206817565,2.338650986085207
IND,3.0959486670048775,2.750416782223607
IRL,0.6686262088612016,1.3163196271322979
IRN,1.8778985425133992,2.1414732121271878
IRQ,1.5014297298208776,1.5866464395152853
ISL,-0.4902358244163046,0.11172380626671462
ISR,0.8790255504181852,1.375270799868595
ITA,1.7764100776024836,2.3410361067022647
JAM,0.4517086308843846,0.32004172596001285
JOR,0.8793793729670999,0.8393911778263101
JPN,2.1089213832368756,2.6603675082145193
KAZ,1.2213459146560446,1.5641971251797688
KEN,1.6282544240044676,1.0222731968669634
KGZ,0.7408835980030215,0.28076300371917284
KHM,1.1625012489986049,0.5787992925323544
KNA,-1.2839465584565612,-0.9523811740873341
KOR,1.6967464618202084,2.2058662666807676
KWT,0.5039337460879123,1.383957537136322
LAO,0.8016428857816424,0.4677112394323105
LBN,0.6616582364891024,0.8590435384531696
LBR,0.6096122357052725,-0.5335701414108053
LCA,-0.7598702748317566,-0.6842705657995735
LKA,1.3078172050573995,1.2582226766102407
LSO,0.31474463479738984,-0.285973039951972
LTU,0.4885339299660247,0.8474948172955831
LUX,-0.2840459579945395,0.6812704650327351
LVA,0.320664025708265,0.6207489932189966
MAC,-0.2600805066720056,0.7705459366788857
MAR,1.5166519880397114,1.3431014446797105
MDA,0.610379887009342,0.24371745927209637
MDG,1.3373384385393483,0.5014592184522633
MDV,-0.4258170324808726,-0.3044656970177615
MEX,2.075875365373001,2.273906353449409
MKD,0.3164700057508247,0.37036759733876107
MLI,1.191478650871226,0.4566261783596639
MLT,-0.3784425807451012,0.07873410401765528
MNE,-0.20379630090612996,-0.055085811788871876
MNG,0.44114757864977483,0.37918565089329365
MOZ,1.3968791205178848,0.36439000307363384
MRT,0.5702710833193536,0.0694208183697279
MUS,0.09726531303963454,0.31521558357743545
MWI,1.193892782272072,0.2161299089693364
MYS,1.4568991290869908,1.7943597173831494
NAM,0.3454954717399362,0.29861520811228937
NER,1.2320970347896387,0.11778941126815752
NGA,2.211859962044552,1.9299585524837617
NLD,1.2236776529522289,1.889612182100103
NOR,0.6943941524421702,1.476574015712102
NPL,1.4365942855196778,0.7216433188421834
NZL,0.6452615901381912,1.1509705610024201
OMN,0.5101786504457047,1.1583157897327276
PAK,2.241008920631801,1.8796070721534768
PAN,0.5691141952931726,0.784916786347631
PER,1.4736327632076875,1.4895469169481967
PHL,1.978992353440168,1.7356434046187914
POL,1.5834362186863793,1.945847780940009
PRT,1.0263424260160376,1.4546365677676383
